schedule,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
linear,50,79,0,-1,,0,0.9989807368416805,975.8259251717852
linear,50,80,0,-1,,0,0.9999867955311696,982.9081363736109
linear,50,81,0,-1,,0,0.999999,981.5019316346903
linear,50,82,1,1777,0.7665500000000001,3,0.9735757718163393,974.651041591998
linear,50,83,1,536,0.5804,2,0.9997806633428493,974.857781550393
linear,50,84,0,-1,,0,0.9829944510882977,979.163815232069
linear,50,85,1,1951,0.7926500000000001,3,0.9994032477143071,990.9353543786004
linear,50,86,1,929,0.63935,2,0.9981970859735568,975.203565189795
linear,50,87,0,-1,,0,0.9999926199384789,985.7518629443401
linear,50,88,0,-1,,0,0.9998174326368955,990.4780809984928
linear,50,89,0,-1,,0,0.5477892573839075,984.9693820383998
linear,50,90,1,678,0.6017,2,0.9999822874169876,974.8028198321614
linear,50,91,1,1395,0.7092499999999999,2,0.99993968429084,984.7237967614319
linear,50,92,0,-1,,0,0.999457780623341,969.2249579389024
linear,50,93,0,-1,,0,0.9969932808773623,951.6645225869166
linear,50,94,0,-1,,0,0.9988365538269501,967.5017410526607
linear,50,95,1,346,0.5519000000000001,2,0.9161069504241683,977.2085506077658
linear,50,96,1,327,0.54905,3,0.999999,968.6468169582816
linear,50,97,0,-1,,0,0.999999,988.9089170832947
linear,50,98,0,-1,,0,0.999999,976.3533701598938
linear,50,99,1,1847,0.77705,2,0.999999,966.4040532755151
linear,60,0,0,-1,,0,0.9997420900979647,1456.7852205403196
linear,60,1,0,-1,,0,0.999808398677931,1487.0193288268442
linear,60,2,0,-1,,0,0.9440885495059794,1482.2706981564888
linear,60,3,0,-1,,0,0.9883485420897635,1485.816046033578
linear,60,4,0,-1,,0,0.9719331733762913,1478.421669441505
linear,60,5,0,-1,,0,0.999999,1464.9722344642764
linear,60,6,0,-1,,0,0.999999,1478.6850952651162
linear,60,7,0,-1,,0,0.9997721226722248,1481.2690054309155
linear,60,8,0,-1,,0,0.999999,1429.3552843360435
linear,60,9,0,-1,,0,0.999999,1458.7275807483738
linear,60,10,0,-1,,0,0.999999,1485.0751606812184
